gene_short_name,NIL_6h_FPKM,NIL_12h_FPKM,NIL_24h_FPKM
YAL067W-A,3.45513,2.51921,5.70732
YAL064W-B,0,0,0
YAL064W,4.64059,2.37557,8.67399
GDH3,22.33,10.5521,41.3873
BDH2,72.5641,48.6976,120.082
BDH1,169.859,43.2898,282.497
ECM1,93.0418,134.511,56.7705
CNE1,32.9101,41.1233,28.5506
GPB2,55.0455,46.7593,77.4364
PEX22,26.9887,23.7735,34.4428
FLC2,139.435,129.613,180.684
OAF1,32.3239,19.5172,52.1145
YAL044W-A,245.231,267.378,274.042
ERV46,175.469,163.851,194.748
CDC24,68.3857,86.4527,59.0975
CDC19,1632.65,2142.15,101.161
YAL037W,29.0815,22.9307,38.9376
FUN12,132.599,168.398,81.2693
MTW1,24.954,25.1452,27.7721
POP5,66.8303,75.2061,58.4125
SNC1,279.743,290.354,321.153
FRT2,14.2369,10.8975,21.5269
SAW1,33.1831,34.8191,33.1694
HRA1,42.0662,43.7131,50.945
FUN30,43.1409,52.6974,37.0543
PSK1,38.6793,27.6843,59.5564
TPD3,169.746,193.391,178.816
DEP1,71.2702,76.9833,75.8954
CYS3,221.561,273.423,109.383
SWC3,24.9333,24.4971,29.6879
SPO7,83.02,102.29,79.6682
FUN14,105.829,97.5653,139.673
TRN1,0,0,0
EFB1,1088.3,970.904,487.837
snR18,44.174,16.2851,80.7999
VPS8,24.9493,15.9065,38.5308
NUP60,115.745,182.301,65.7546
SWD1,57.857,61.7369,64.9402
SEN34,32.4284,29.6458,35.1165
TGA1,0,0,0
ADE1,884.882,542.645,1367.4
SUP56,0,0,0
UIP3,118.993,153.437,107.766
YAR028W,48.1366,79.3738,24.6012
YAR029W,27.9234,42.026,19.1952
PRM9,13.957,7.41421,23.6912
MST28,24.1584,35.6459,15.667
YAT1,989.587,115.492,2257.82
SWH1,24.7116,19.0896,32.3757
FLO1,3.11682,2.12707,4.86409
YAR062W,1.78606,0.638082,3.26699
YAR064W,0,0,0
YAR066W,4.58144,2.63242,7.94818
YAR068W,167.935,119.496,253.858
PHO11,9.50162,6.47339,15.2938
PAU8,1.85618,1.59434,2.70525
SEO1,0,0,0
YAL065C,0,0,0
TDA8,0,0,0
YAL063C-A,0,0,0
FLO9,1.95142,1.01711,3.37545
ACS1,530.982,7.11924,1270.95
AIM2,139.689,179.457,115.408
GEM1,73.7965,108.811,58.0361
SPC72,24.4702,24.3885,28.8748
AIM1,138.997,132.114,161.358
GCV3,1306.45,914.03,1983.75
PTA1,58.4912,44.3924,82.162
CLN3,49.3892,49.6557,50.8368
CYC3,102.835,56.797,171.258
YAL037C-A,9.40081,0,21.3128
RBG1,84.1002,99.4176,60.7354
FUN19,89.2276,48.6244,158.072
PRP45,39.625,35.4458,50.4441
GIP4,46.4656,51.0604,52.1969
MYO4,24.6739,25.7556,23.8461
DRS2,57.377,77.169,49.8745
MAK16,152.744,240.719,57.3131
LTE1,7.54879,8.26637,7.06421
PMT2,92.3074,74.0058,81.1141
FUN26,63.3516,61.8202,71.658
CCR4,53.17,56.4936,51.1964
ATS1,41.3737,34.0676,54.0507
LDS1,2.68965,6.1505,0.273177
NTG1,116.864,172.54,86.8086
SYN8,74.759,78.7349,77.5753
MDM10,42.8179,42.8709,50.1061
ERP2,226.222,344.978,121.541
SSA1,256.585,60.745,499.763
TFC3,43.3832,38.079,57.224
ERP1,358.7,460.802,248.302
RFA1,75.2344,83.1125,70.5835
YAR009C,0.119261,0.130902,0.133543
YAR010C,0,0,0
BUD14,124.356,107.073,168.561
KIN3,40.8111,57.7454,29.3151
CDC15,28.6685,23.2484,40.4156
PAU7,20.2609,17.8424,27.3184
YAR023C,18.2801,19.7696,20.2872
tS(AGA)A,0,0,0
YAR035C-A,143.259,0,548.738
tL(UAA)B1,0,0,0
SFT2,365.477,572.525,237.452
YBL101W-C,36.9386,2.70252,81.4309
YBL101W-B,7.96858,10.1049,7.1002
tF(GAA)B,0,0,0
ATP1,841.34,232.328,1677.43
BNA4,122.231,95.3122,169.128
BRN1,8.43848,9.82854,7.91735
MRX3,170.83,218.206,167.315
RPL32,2161.13,1730.17,805.636
MRP21,88.4412,83.5194,93.9527
AVT5,47.3213,42.8228,60.0093
BOI1,48.6271,56.1863,43.7153
YBL081W,56.8607,78.4413,32.9894
NUP170,37.4331,37.0936,40.8433
snR56,0,0,0
KTI11,181.934,214.922,175.729
AST1,35.8932,44.9516,26.6627
PRS4,103.574,134.338,85.8989
KIP1,8.87175,5.79559,12.1415
YEL1,43.526,44.8404,51.8999
YBL059W,69.8628,35.0853,118.321
SHP1,211.306,227.161,220.845
PTC3,181.215,215.53,161.667
TOD6,60.0763,81.7514,43.4763
SEC17,185.91,183.729,225.538
MOH1,115.521,24.8402,251.649
PSY4,91.0262,136.76,63.3427
YBL044W,0.900996,0.757085,1.00383
ECM13,692.628,49.571,1626.76
PRE7,242.944,216.627,246.611
YBL039W-A,14.5054,10.3986,18.707
MRPL16,142.14,144.145,157.267
APL3,29.7474,29.8893,35.4162
HEK2,59.7751,52.1309,59.3035
SHE1,22.1626,27.7141,16.8415
YBL029W,87.0394,74.8072,122.185
RPL19B,1326.45,1207.81,527.393
LSM2,241.952,265.265,233.145
