gene_short_name,NIL_6h_FPKM,NIL_12h_FPKM,NIL_24h_FPKM
-,0,0,0
-,0,0,0
ASN2,692.182,675.381,791.03
PPT1,32.0373,37.7295,15.114
YGR126W,11.8458,10.3564,15.7125
YGR127W,65.3626,69.2225,78.879
SYF2,78.2511,88.497,86.6672
FHN1,21.6286,24.5212,22.9398
PEX4,79.0209,58.0217,112.927
CAF130,22.2867,24.8828,22.8796
PRE9,347.112,387.137,299.494
LSB1,239.396,279.256,228.627
YGR137W,72.6673,83.3127,48.6343
UTP8,79.4309,110.366,48.2952
YGR130C,133.794,101.151,199.242
PHB1,208.688,182.508,224.23
YGR109W-B,2.31E-05,1.76E-05,0.000170153
YGR109W-B,45.3541,34.1867,64.5854
CLD1,165.213,99.302,297.284
YGR111W,56.1566,49.4475,72.1921
SHY1,65.0332,71.794,70.1795
DAM1,62.1968,70.5658,59.5344
SPT6,72.9587,89.8819,62.745
RPS23A,1537.48,1644.73,495.256
-,0,0,0
YGR121W-A,9.01134,9.06647,9.94354
YGR122W,54.1802,30.9431,87.2805
YGR114C,10.9961,8.86542,14.1393
YGR115C,1.31E-07,2.95E-07,1.20E-07
YGR117C,81.9333,108.544,64.9136
NUP57,172.957,222.512,148.749
COG2,74.091,99.578,64.6998
MEP1,66.4618,44.6479,98.9204
YGR122C-A,1593.04,1618.63,1880.15
-,0,0,0
YGR107W,42.0202,34.9535,49.2842
CLB1,51.4888,86.4799,25.8145
-,0,0,0
CLB6,6.06651,7.9234,1.9841
-,0,0,0
YGR064W,134.96,175.113,96.1815
YGR068W-A,89.9871,92.3433,75.3207
YGR069W,2.34589,0.882847,4.97528
ROM1,19.5693,15.5735,28.7494
UPF3,87.0353,112.993,72.3375
SMD1,246.43,378.227,148.548
YGR079W,17.1869,8.13298,23.2948
TWF1,134.553,154.276,133.238
TOM20,143.629,167.779,91.1962
CTT1,59.6625,110.19,25.6082
NNF2,73.0018,92.1633,63.6926
-,0,0,0
UTP22,40.9278,47.8543,25.2352
PRP31,26.3279,19.3829,34.008
DBF2,68.4021,72.5414,74.1724
YGR093W,41.2966,40.4633,41.0075
VAS1,352.697,374.584,340.009
TPC1,27.454,20.673,38.8146
