Name,batchEntId,parentBoxPlateId,parentBoxPlateName,parentBoxPlatePos,volume,Concentration (ng/ul)
VIAL20493,seq_x6E1sUJD,box_TeiHeGLT,p1,a4,50.0,325
,seq_stP1p5JB,PL02,PL02,e2,10,300
,seq_6ZKHHToq,PR_05,PR_05,A6,10,100
,seq_9YulJcan,PR_07,PR_07,A3,10,100
VIAL22032,seq_MpFqS7IY,box_1gU5Ml9d,l4,a1,20.0,
My Vial2,seq_Oz3nIc4v,box_1gU5Ml9d,l4,a2,5.0,10
VIAL22059,seq_3bqXE4zg,box_1gU5Ml9d,l4,a3,638.7,100
VIAL22022,seq_Oz3nIc4v,box_1gU5Ml9d,l4,a8,60.0,50
VIAL22029,seq_f9l7bytu,box_1gU5Ml9d,l4,c7,100.0,
VIAL22015,seq_JTT473nt,box_1gU5Ml9d,l4,c8,100.0,
VIAL22012,seq_AMtzhp8H,box_1gU5Ml9d,l4,c9,100.0,
VIAL22010,seq_sS4uqbfN,box_1gU5Ml9d,l4,d1,100.0,
VIAL22006,seq_jNmx8NNh,box_1gU5Ml9d,l4,d2,100.0,
VIAL22024,seq_YY6KTMAw,box_1gU5Ml9d,l4,d3,100.0,
VIAL22021,seq_UDLLTjO4,box_1gU5Ml9d,l4,d4,100.0,
VIAL22018,seq_foeRn60p,box_1gU5Ml9d,l4,d5,100.0,
VIAL22002,seq_R4EEkcHF,box_1gU5Ml9d,l4,f6,100.0,16
VIAL22036,seq_5xGuImaO,box_1gU5Ml9d,l4,f7,100.0,142.8
VIAL22037,seq_E3lmPwKA,box_1gU5Ml9d,l4,f8,100.0,134.5
VIAL22038,seq_u0rQqC1j,box_1gU5Ml9d,l4,f9,100.0,137
VIAL22039,seq_kNjuu3eV,box_1gU5Ml9d,l4,g1,100.0,40.1
VIAL22040,seq_12e9SBIA,box_1gU5Ml9d,l4,g2,100.0,134
VIAL22041,seq_ZQuEQJkC,box_1gU5Ml9d,l4,g3,100.0,144.6
VIAL22043,seq_aeGHg37n,box_1gU5Ml9d,l4,g5,100.0,129.3
VIAL22044,seq_nG8aljsp,box_1gU5Ml9d,l4,g6,100.0,132.3
VIAL22045,seq_pZEHnb4P,box_1gU5Ml9d,l4,g7,100.0,141.5
VIAL22046,seq_YfjNzne9,box_1gU5Ml9d,l4,g8,100.0,152.7
VIAL22047,seq_4FRqdXfP,box_1gU5Ml9d,l4,g9,100.0,111.7
